catalogNumber	scientificName	associatedTaxa	kingdom	phylum	class	order	family	genus	specificEpithet	Comments
1597587387	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587388	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587389	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587390	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587391	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587392	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587393	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587394	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587395	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587396	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587399	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1597587400	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
60116759	Amoebophrya	Alexandrium affine	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	affine	
1547054790	Amoebophrya	Alexandrium affine	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	affine	
1547054796	Amoebophrya	Alexandrium affine	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	affine	
2160988628	Amoebophrya	Alexandrium catenella	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	catenella	
2160988629	Amoebophrya	Alexandrium catenella	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	catenella	
