Species	FullInfo
Quaeritorhiza haematococci	"Quaeritorhiza haematococci Longcore, D.R. Simmons & T.Y. James MycoBank MB833715. Mycologia 112:606â€“615. 2020
Parasite; non-motile stage of Haematococcus pluvialis; Commercial alga facility, TEXAS, USA"
Rhizophlyctis columellae	"Rhizophlyctis columellae S.N. Dasgupta & R. John; Indian Phytopathol. 43: 564â€“567, fig. 1. 1990 (1991).
Parasitic; zygospore of Spirogyra sp.; tank; Lucknow U., INDIA"
Rhizophydium algavorum	"Rhizophydium algavorum Gromov, B.V., A.V. Pljusch and K.A. Mamkaeva, 1999. Protistology 1: 62â€”65.
Parasitic; Chlorococum minutum; pond; St. Petersburg, RUSSSIA"
Rhizophydium androdioctes	"Rhizophydium androdioctes Canter; Trans. Brit. Mycol. Soc. 56: 115â€“120, figs. 1â€“19. 1971.
Parasitic; Dictyosphaerium pulchellum (Green alga); Loch Leven, Kinross, SCOTLAND"
Rhizophydium aphanomycis	"Rhizophydium aphanomycis Karling; Nova Hedwigia 27: 747â€“771, figs. 12â€“21. 1976.
Parasitic; Aphanomyces sp.; soil; Ngorongora Crater, TANZANIA"
Rhizophydium blastocladianum	"Rhizophydium blastocladianum S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 1â€“82, fig. 16. 1988.
Parasitic; Blastocladia on apple; tank sediment; Lucknow U., INDIA"
Rhizophydium blyttiomycerum	"Rhizophydium blyttiomycerum S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 1â€“82, fig. 24. 1988.
Parasitic; Blyttiomyces spinosus & zygospore of Spirogyra; ditch; Sultanpur Road, SE of Lucknow U., INDIA"
Rhizophydium clavatum	"Rhizophydium clavatum S.N. Dasgupta & R. John (homonym); Bull. Bot. Surv. India 30: 1â€“82, fig. 34. 1988.
Parasitic; Closterium; tank; Lucknow U., INDIA"
Rhizophydium contractophilum	"Rhizophydium contractophilum Canter; Trans. Brit. Mycol. Soc. 42: 185â€“192, figs. 1â€“4. 1959.
Parasitic; Eudorina elegans and Eudorina sp.; Lake Windermere, E.L.D., U.K."
Rhizophydium coralloidum	"Rhizophydium coralloidum (IF 4:484) Karling; Mycologia 68: 1245â€“1248, figs. 1â€“9. 1976.
Parasitic; Karlingia rosea; soil; Canaveral, FLORIDA, USA"
Rhizophydium fugax	"Rhizophydium fugax Canter; Trans. Brit. Mycol. Soc. 51: 699â€“705, Pl. 57 & fig. 1. 1968.
Parasitic; Cryptomonas spp.; plankton of lakes; E.L.D., U.K."
Rhizophydium gonapodyanum	"Rhizophydium gonapodyanum S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 1â€“82, fig. 23. 1988.
Parasitic; sporangium of Gonapodya polymorpha; tank sediment; Lucknow U., INDIA"
Rhizophydium lagenaria	"Rhizophydium lagenaria S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 1â€“82, fig. 21. 1988.
Parasitic; sporangium of Blastocladia on fruit bait; tank sediment; Lucknow U., INDIA"
Rhizophydium manoense	"Rhizophydium manoense Sparrow; Mycopathol. Mycol. Appl. 25: 119â€“143. figs. 1â€“7. 1965.
Parasitic; diatom (Cocconeis); stream, Oahu, HAWAII, USA"
Rhizophydium mougeotiae	"Rhizophydium mougeotiae Pongratz; Schweiz. Z. Hydrol. 28: 104â€“132, fig. 2 & Pl. 5, 33â€“36. 1966.
Parasitic; Mougeotia gracillima; Plankton; Lake LĂ©man, SWITZERLAND"
Rhizophydium nobile	"Rhizophydium nobile Canter; Proc. Linn. Soc. London 179: 197â€“201, 2 Pl, fig. 1. 1968.
Parasitic; resting spores of Ceratium hirundinella; lakes; E.L.D., U.K."
Rhizophydium planktonicum	"Rhizophydium planktonicum emend. Canter; J. Linn. Soc., Bot. 62: 267â€“278, fig. 1. 1969.
Parasitic; Asterionella formosa (diatom); lakes; E.L.D., U.K. Îž Rhizophydium planktonicum Canter (in part) 1948"
Rhizophydium poculiforme	"Rhizophydium poculiforme S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 1â€“82, fig. 28â€“30. 1988.
Parasitic; Closterium; tank; Lucknow U., INDIA"
Rhizophydium rarotonganensis	"Rhizophydium rarotonganensis Karling; Arch. Mikrobiol. 61: 112â€“127, fig. 1 Aâ€“L. 1968.
Parasitic; Nowakowskiella profusa; soil; Rarotonga, Cook Islands, OCEANIA"
Rhizophydium reflexum	"Rhizophydium reflexum S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 1â€“82, fig. 18. 1988.
Parasitic; Sporangium of Blastocladia on Pyrus fruit; tank sediment; Lucknow U., INDIA"
Rhizophydium rhizinum	"Rhizophydium rhizinum S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 1â€“82, fig. 17. 1988.
Parasitic; sporangium of Blastocladia on Pyrus fruit; tank sediment; Lucknow U., INDIA"
Rhizophydium rotundum	"Rhizophydium rotundum S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 1â€“82, figs. 25â€“27. 1988.
Parasitic; Closterium, Oedogonium, and Zygnema; tank; garden, Lucknow U., INDIA"
Rhizophydium sphaerocarpum var. rhizoclonii	"Rhizophydium sphaerocarpum var. rhizoclonii Huth & Gaertner; Trans. Brit. Mycol. Soc. 61: 431â€“434, Pl. 43. 1973. Parasitic; Rhizoclonium hieroglyphicum; brackish Water; Bremerhaven, GERMANY"
Rhizophydium sphaerocarpum var. spirogyrae	"Rhizophydium sphaerocarpum var. spirogyrae D.J.S. Barr; Canad. J. Bot. 48: 1607â€“1071, figs. 1â€“6. 1970.
Parasitic; moribund Spirogyra; southwestern ONTARIO, CANADA"
Rhizophydium spinosum	"Rhizophydium spinosum S.N. Dasgupta & R. John (homonym); Bull. Bot. Surv. India 30: 1â€“82, fig. 20. 1988.
Parasitic; Blastocladia on fruit bait; tank sediment; Lucknow U., INDIA"
Rhizophydium stellatum	"Rhizophydium stellatum S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 182, fig. 22. 1988.
Parasitic; Sporangium of Gonapodya polymorpha; tank sediment; Lucknow U., INDIA"
Rhizophydium tenue	"Rhizophydium tenue (Sparrow) Karling; CI, p. 65. 1977. Îž Phlyctidium tenue Sparrow 1952
Rhizophydium tetragenum Pongratz; Schweiz. Z. Hydrol. 28: 104â€“132, fig. 1 & Pl. 4, 25â€“28. 1966.
Parasitic; Asterionella formosa; plankton; Lake Leman, SWITZERLAND"
Rhizophydium tetragenum	"Rhizophydium tetragenum Pongratz; Schweiz. Z. Hydrol. 28: 104–132, fig. 1 & Pl. 4, 25–28. 1966. Parasitic; Asterionella formosa; plankton; Lake Leman, SWITZERLAND"
Rhizophydium tubulatum	"Rhizophydium tubulatum S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 1â€“82, fig. 31â€“33. 1988.
Parasitic; Closterium; tank; Lucknow U., INDIA"
Rhizophydium urcelolatum	"Rhizophydium urcelolatum S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 1â€“82, fig. 19. 1988.
Parasitic; Blastocladia on fruit bait; tank sediment; Lucknow U., INDIA"
Rhizophydium venustum	"Rhizophydium venustum Canter; Trans. Brit. Mycol. Soc. 46: 305â€“320, fig. 7, aâ€“i. 1963.
Parasitic; cysts; Uroglena americana; lakes; E.L.D., U.K. Îž Zygorhizidium venustum (Canter) Canter 1971"
Rozella coleochaetis	"Rozella coleochaetis Sparrow; Pap. Michigan Acad. Sci. 50: 115â€“123, figs. Aâ€“E, 1964. Parasitic, Coleochaete sp.; Smithâ€™s Bog, Cheboygan Co., MICHIGAN, USA"
Rozella diplophlyctidis	"Rozella diplophlyctidis Karling; Nova Hedwigia 45: 529â€“535, figs. 1â€“6. 1987.
Parasitic; Diplophlyctis intestina; Moribund Nitella flexilis; Ross Biological Reserve"
Rozella itersoniliae	"Rozella itersoniliae D.J.S. Barr & Bandoni; Mycologia 71: 1261â€“1264, figs. 1â€“4. 1979.
Parasitic; Itersonilia perplexante (Hyphomycete); Taraxacum leaf over agar"
Rozella longicollis	"Rozella longicollis Karling; Sydowia 19: 213â€“226, Pl. 46, figs. 21â€“29. 1965.
Parasitic; Pythium (Oomycete); soil sample from NEW ZEALAND"
Rozella longisporangia	"Rozella longisporangia Willoughby and Rigg; Nova Hedwigia 37: 369â€“383, fig. 1 Aâ€“F. 1983.
Parasitic; Pythium (Oomycete); field soil with neutral pH; MAJORCA"
Rozella multimorpha	"Rozella multimorpha Letcher & Longcore; MycoBankÂ  821536. Journal of Eukaryotic Microbiology 65: 180â€“190 (2018). Parasitic; Pythium host; small pond, Lyle E. Littlefield Garden, University of Maine Campus, Orono, MAINE, USA."
Rozella parva	"Rozella parva Canter; J. Linn. Soc., Bot. 62: 267â€“278, fig. 3. 1969.
Parasitic; Zygorhizidium affluens; lakes; E.L.D., U.K."
Rozella rhizoclosmatii	"Rozella rhizoclosmatii Letcher and Longcore; MycoBank No.Â MB817338. Fungal Ecology (in press) 2016.
Parasitic; Rhizoclosmatium; fen around Perch Pond, Old Town, Maine, USA"
Scherffeliomycopsis coleochaetis	"Scherffeliomycopsis coleochaetis Geitler; Oesterr. Bot. Z. 109: 250â€“275, figs. 1â€“8. 1962;
Parasitic ?; Coleochaete soluta et irregula; littoral; Lunzer Untersee, lower AUSTRIA"
Septosperma multiforma	"Septosperma multiforma Canter; species described before genus validated; Trans. Brit. Mycol. Soc. 46: 305â€“320, figs. 4â€“7. 1963; Parasitic; developing cysts of algae; lakes; E.L.D., U.K.; Îž Septosperma multiforma Canter ex Milanez; Rickia 6: 63â€“70. 1974"
